"NO.","CLAIM NUMBER","AMOUNT","NARRATION"
"1","010/073/9/003144/2021","91,800.00","DV SETTLEMENT-KMFK 586C"
"2","010/073/9/003502/2022","106,740.00","DV SETTLEMENT-KMFH 236J"
"3","010/073/9/003687/2022","118,851.00","DV SETTLEMENT-KMFT 230K"
"4","010/073/9/002715/2021","123,851.00","DV SETTLEMENT-KMFT 572U"
"5","010/073/9/003513/2022","119,021.00","DV SETTLEMENT-KMFS 433Y"
"6","010/073/9/003725/2022","117,851.00","DV SETTLEMENT-KMFR 637T"
"7","010/073/9/001093/2020","108,420.00","DV SETTLEMENT-KMFE627R"
"8","010/073/9/003340/2021","107,801.00","DV SETTLEMENT-KMFL 117R"
"9","010/073/9/003905/2022","90,551.00","DV SETTLEMENT-KMFJ 567X"
"10","010/073/9/003558/2022","115,860.00","DV SETTLEMENT-KMFP 619P"
"11","010/073/9/002215/2021","112,010.00","DV SETTLEMENT-KMFR 650B"
"12","010/073/9/003148/2021","77,901.00","DV SETTLEMENT-KMFH 827W"
"13","010/073/9/003393/2021","91,140.00","DV SETTLEMENT-KMFH 531C"
"14","010/073/9/003523/2022","117,021.00","DV SETTLEMENT-KMFP 461R"
"15","010/073/9/003505/2022","91,350.00","DV SETTLEMENT-KMFM 295N"
"16","010/073/9/004196/2022","61,900.00","DV SETTLEMENT-KMFU 299B"
"17","010/073/9/004196/2022","5,500.00","TOWING REFUND-KMFU 299B"
"18","010/073/9/004061/2022","106,070.00","DV SETTLEMENT-KMFK 944W"
"19","010/073/9/003997/2022","106,310.00","DV SETTLEMENT-KMFQ 427B"
"20","010/073/9/003680/2022","81,630.00","DV SETTLEMENT-KMFM 678L"
"21","010/073/9/003952/2022","58,000.00","DV SETTLEMENT-KMFE 736G"
"22","010/073/9/003861/2022","103,042.00","DV SETTLEMENT-KMFT 805G"
"23","010/073/9/003389/2021","67,000.00","DV SETTLEMENT-KMFG 576E"
"24","010/073/9/003518/2022","99,430.00","DV SETTLEMENT-KMFM 517Q"
"25","010/073/9/002590/2021","121,820.00","DV SETTLEMENT-KMFP 193U"
"26","010/073/9/004090/2022","116,021.00","DV SETTLEMENT-KMFP 203J"
"27","010/073/9/003154/2021","92,240.00","DV SETTLEMENT-KMFF 138N"
"28","010/073/9/003240/2021","101,440.00","DV SETTLEMENT-KMFN 795J"
"29","010/073/9/003503/2022","96,730.00","DV SETTLEMENT-KMFM 841E"
"30","010/073/9/003338/2021","107,310.00","DV SETTLEMENT-KMFR 378B"
"31","010/073/9/003373/2021","96,550.00","DV SETTLEMENT-KMFM 855X"
"32","010/073/9/003392/2021","121,060.00","DV SETTLEMENT-KMFR 545W"
"33","010/073/9/003386/2021","86,590.00","DV SETTLEMENT-KMFH 635M"
"34","010/073/9/003436/2021","89,211.00","DV SETTLEMENT-KMFL 365Z"
"35","010/073/9/003506/2021","96,900.00","DV SETTLEMENT-KMFF 586C"
"36","010/073/9/003402/2021","111,580.00","DV SETTLEMENT-KMFL 750P"
"37","010/073/9/003384/2021","96,800.00","DV SETTLEMENT-KMFL 893N"
"38","010/073/9/003510/2022","121,761.00","DV SETTLEMENT-KMFQ 185H"
"39","010/073/9/003370/2021","107,810.00","DV SETTLEMENT-KMFL 994S"
"40","010/073/9/002986/2021","100,361.00","DV SETTLEMENT-KMFN 015T"
"41","010/073/9/003682/2022","85,000.00","DV SETTLEMENT-KMFG 274S"
"42","010/073/9/003356/2021","117,021.00","DV SETTLEMENT-KMFR 656Y"
"43","010/073/9/002988/2021","113,910.00","DV SETTLEMENT-KMFN 744Y"
"44","010/073/9/003724/2022","107,930.00","DV SETTLEMENT-KMFS 904V"
"45","010/073/9/004117/2022","112,021.00","DV SETTLEMENT-KMFP 069L"
"46","010/073/9/004026/2022","101,702.00","DV SETTLEMENT-KMFQ 633U"
"47","010/073/9/004100/2022","100,361.00","DV SETTLEMENT-KMFN 559S"
"48","010/073/9/004150/2022","117,021.00","DV SETTLEMENT-KMFT 319W"
"49","010/073/9/004147/2022","106,702.00","DV SETTLEMENT-KMFR 740Z"
"50","010/073/9/004104/2022","95,361.00","DV SETTLEMENT-KMFN 262T"
"51","010/073/9/003813/2022","93,900.00","DV SETTLEMENT-KMFE 669K"
"52","010/073/9/004101/2022","96,361.00","DV SETTLEMENT-KMFS 086A"
"53","010/073/9/003889/2022","78,000.00","DV SETTLEMENT-KMFG 183C"
"54","010/073/9/004227/2022","24,600.00","DV SETTLEMENT-KMFP 754L"
"55","010/071/9/025359/2022","690.00","DV SETTLEMENT-KMFT 137L"
"56","010/073/9/004194/2022","17,650.00","DV SETTLEMENT-KMFP 216X"
"57","010/071/9/025358/2022","6,610.00","DV SETTLEMENT-KMFV 400M"
"58","010/073/9/004287/2022","56,000.00","DV SETTLEMENT-KMFS 418K"
"59","010/073/9/004287/2022","6,000.00","TOWING REFUND-KMFS 418K"
"60","010/073/9/004271/2022","37,500.00","DV SETTLEMENT-KMFL 015P"
"61","010/073/9/004279/2022","57,800.00","DV SETTLEMENT-KMFM 088J"
"62","010/073/9/004279/2022","3,770.00","TOWING REFUND-KMFM 088J"
"63","010/073/9/004259/2022","61,350.00","DV SETTLEMENT-KMFQ 311P"
"64","010/073/9/004259/2022","6,500.00","TOWING REFUND-KMFQ 311P"
"65","010/073/9/004131/2022","69,600.00","DV SETTLEMENT-KMFJ 598D"
"66","010/073/9/004143/2022","76,872.00","DV SETTLEMENT-KMFH 933N"
"67","010/073/9/004108/2022","110,971.00","DV SETTLEMENT-KMFL 581G"
"68","010/073/9/004116/2022","114,021.00","DV SETTLEMENT-KMFP 157Q"
"69","010/073/9/004107/2022","71,864.00","DV SETTLEMENT-KMFF 568D"
"70","010/073/9/003215/2021","96,800.00","DV SETTLEMENT-KMFK 805A"
"71","010/073/9/004077/2022","92,201.00","DV SETTLEMENT-KMFK 092M"
"72","010/073/9/002591/2021","120,021.00","DV SETTLEMENT-KMFS 683B"
"73","010/073/9/003396/2021","120,021.00","DV SETTLEMENT-KMFS 463S"
"74","010/073/9/001544/2021","97,610.00","DV SETTLEMENT-KMFM 922L"
"75","010/073/9/003372/2021","101,610.00","DV SETTLEMENT-KMFK 411B"
"76","010/073/9/004271/2022","5,500.00","TOWING REFUND-KMFL 015P"
